id	output
{"blockNumber":17232367,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"1"}	"2"
{"blockNumber":17337315,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"3"}	"2"
{"blockNumber":17338207,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"2"}	"1"
{"blockNumber":17382989,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"2"}	"2"
{"blockNumber":20186333,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"5"}	"2"
{"blockNumber":20463903,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"6"}	"2"
{"blockNumber":20515046,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"7"}	"2"
{"blockNumber":20515046,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"8"}	"2"
{"blockNumber":20640234,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"9"}	"1"
{"blockNumber":20667416,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"10"}	"1"
{"blockNumber":20667531,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"12"}	"2"
{"blockNumber":20678901,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"13"}	"1"
{"blockNumber":20693502,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"11"}	"2"
{"blockNumber":20783707,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"14"}	"2"
{"blockNumber":20805071,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"15"}	"2"
{"blockNumber":21835011,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"16"}	"2"
{"blockNumber":21889165,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"17"}	"2"
{"blockNumber":22062084,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"22"}	"2"
{"blockNumber":22139768,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"26"}	"2"
{"blockNumber":22139828,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"25"}	"2"
{"blockNumber":22140009,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"18"}	"2"
{"blockNumber":22181002,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"28"}	"2"
{"blockNumber":22209275,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"27"}	"1"
{"blockNumber":22220187,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"19"}	"2"
{"blockNumber":22254769,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"20"}	"2"
{"blockNumber":22254827,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"21"}	"2"
{"blockNumber":22256353,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"23"}	"2"
{"blockNumber":22256470,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"24"}	"2"
{"blockNumber":22276896,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"31"}	"2"
{"blockNumber":22314088,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"33"}	"2"
{"blockNumber":22328418,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"32"}	"2"
{"blockNumber":22382824,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"33"}	"2"
{"blockNumber":22506784,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"29"}	"2"
{"blockNumber":22514790,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"30"}	"2"
{"blockNumber":22999223,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"34"}	"1"
{"blockNumber":23065295,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"37"}	"2"
{"blockNumber":23065352,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"35"}	"0"
{"blockNumber":23095348,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"38"}	"1"
{"blockNumber":23095348,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"41"}	"0"
{"blockNumber":23126600,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"42"}	"0"
{"blockNumber":23179398,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"36"}	"0"
{"blockNumber":23289717,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"39"}	"0"
{"blockNumber":23290014,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"40"}	"1"
{"blockNumber":23332449,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"45"}	"2"
{"blockNumber":23343927,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"43"}	"0"
{"blockNumber":23401723,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"47"}	"2"
{"blockNumber":23451188,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"44"}	"0"
{"blockNumber":23819366,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"48"}	"2"
{"blockNumber":24331115,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"49"}	"0"
{"blockNumber":24331164,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"50"}	"2"
{"blockNumber":24974489,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"52"}	"2"
{"blockNumber":24979939,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"53"}	"0"
{"blockNumber":25646471,"chainId":100,"contractAddress":"0x9C1dA9A04925bDfDedf0f6421bC7EEa8305F9002","disputeID":"59"}	"2"
{"blockNumber":10286545,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"211"}	"2"
{"blockNumber":10324742,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"213"}	"1"
{"blockNumber":10363091,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"214"}	"2"
{"blockNumber":10373646,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"213"}	"2"
{"blockNumber":10386428,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"224"}	"2"
{"blockNumber":10374236,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"233"}	"2"
{"blockNumber":10386428,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"225"}	"2"
{"blockNumber":10370220,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"217"}	"2"
{"blockNumber":10370267,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"218"}	"2"
{"blockNumber":10372608,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"216"}	"1"
{"blockNumber":10370574,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"227"}	"2"
{"blockNumber":10373193,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"231"}	"2"
{"blockNumber":10414816,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"235"}	"1"
{"blockNumber":10415084,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"237"}	"1"
{"blockNumber":10429263,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"238"}	"2"
{"blockNumber":10434224,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"245"}	"2"
{"blockNumber":10434794,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"244"}	"2"
{"blockNumber":10445736,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"242"}	"2"
{"blockNumber":10447165,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"243"}	"2"
{"blockNumber":10446503,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"246"}	"2"
{"blockNumber":10458327,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"251"}	"2"
{"blockNumber":10460877,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"247"}	"2"
{"blockNumber":10467461,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"256"}	"2"
{"blockNumber":10467427,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"255"}	"2"
{"blockNumber":10474600,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"254"}	"0"
{"blockNumber":10480696,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"262"}	"2"
{"blockNumber":10485735,"chainId":1,"contractAddress":"0x988b3A538b618C7A603e1c11Ab82Cd16dbE28069","disputeID":"261"}	"2"
